CourseName,Played,Date,Notes,CurrentRanking,PastRanking,PanelistRating,City,State,Country,Architect,Latitude,Longitude
Sand Hills Golf Club,,,,1,1,9.8,Mullen,NE,United States,-,41.86883163,-101.09664917
CapRock Ranch,,,,2,NR,9.4,Valentine,NE,United States,-,42.87301254,-100.55056763
Landmand,,,,3,NR,-,Homer,NE,United States,-,42.32246017,-96.49082947
Dismal River Club: Red,,,,4,2,8.8,Mullen,NE,United States,-,42.04198074,-101.04255676
Omaha Country Club,,,,5,4,8.8,Omaha,NE,United States,-,41.33177948,-96.01625824
The Prairie Club Dunes Course,,,,6,3,9.0,Valentine,NE,United States,-,42.87301254,-100.55056763
Dismal River Club: White,,,,7,5,7.6,Mullen,NE,United States,-,42.04198074,-101.04255676
Wild Horse Golf Club,,,,8,6,9.2,Gothenburg,NE,United States,-,40.93101883,-100.16029358
The Prairie Club: Pines,,,,9,7,7.6,Valentine,NE,United States,-,42.87301254,-100.55056763
Firethorn Golf Club,,,,10,9,8.6,Lincoln,NE,United States,-,40.77854156,-96.5947113
